stressor	FLOW_name__stressor	FLOW_class0__stressor	FLOW_class1__stressor	FLOW_class2__stressor	FLOW_uuid__stressor	EXIOBASE_unit	FLOW_unit	factor	comment
CO2 - combustion.*	carbon dioxide (fossil)	Emissions	Emissions to air	Emissions to air, unspecified	08a91e70-3ddc-11dd-923d-0050c2490048	kg	kg	1	
CO2 - non combustion.*	carbon dioxide (fossil)	Emissions	Emissions to air	Emissions to air, unspecified	08a91e70-3ddc-11dd-923d-0050c2490048	kg	kg	1	Lime and Cement in EXIOBASE, not linked to generic “carbon dioxide” b/c of missing UUID
CO2 - waste - fossil - air	carbon dioxide (fossil)	Emissions	Emissions to air	Emissions to air, unspecified	08a91e70-3ddc-11dd-923d-0050c2490048	kg	kg	1	
CO2 - agriculture - peat decay - air	carbon dioxide (biogenic)	Emissions	Emissions to air	Emissions to air, unspecified	08a91e70-3ddc-11dd-9c15-0050c2490048	kg	kg	1	
CO2 - waste - biogenic - air	carbon dioxide (biogenic)	Emissions	Emissions to air	Emissions to air, unspecified	08a91e70-3ddc-11dd-9c15-0050c2490048	kg	kg	1	
CH4 - combustion.*	methane (fossil)	Emissions	Emissions to air	Emissions to air, unspecified	08a91e70-3ddc-11dd-9610-0050c2490048	kg	kg	1	
CH4 - non combustion.*	methane (fossil)	Emissions	Emissions to air	Emissions to air, unspecified	08a91e70-3ddc-11dd-9610-0050c2490048	kg	kg	1	
CH4 - agriculture - air	methane (biogenic)	Emissions	Emissions to air	Emissions to air, unspecified	fe0acd60-3ddc-11dd-a8e8-0050c2490048	kg	kg	1	
CH4 - waste - air	methane (fossil)	Emissions	Emissions to air	Emissions to air, unspecified	08a91e70-3ddc-11dd-9610-0050c2490048	kg	kg	1	
N2O.*	nitrous oxide	Emissions	Emissions to air	Emissions to air, unspecified	08a91e70-3ddc-11dd-94c3-0050c2490048	kg	kg	1	
NH3.*	ammonia	Emissions	Emissions to air	Emissions to air, unspecified	08a91e70-3ddc-11dd-a2a9-0050c2490048	kg	kg	1	
SO[x,X].*	sulfur oxides	Emissions	Emissions to air	Emissions to air, unspecified	fe0acd60-3ddc-11dd-a207-0050c2490048	kg	kg	1	Sulfor oxides are currently only matched to EQ Terrestical Acidification. Human Health Imapcts would need a specification of mono/dioxides
NO[x,X].*	Nitrogen oxides	Emissions	Emissions to air	Emissions to air, unspecified	f79d0f8f-2b0e-49cb-bed0-b1ea0fbd8625	kg	kg	1	
CO -.*	carbon monoxide (fossil)	Emissions	Emissions to air	Emissions to air, unspecified	08a91e70-3ddc-11dd-924e-0050c2490048	kg	kg	1	Regex with “CO -.*” to avoid linking the CO2 stuff. Assumed matching for all non combustion CO emissions in EXIOBASE
