ExioNumber	ExioName	ExioCode	ExioLabel	ConsumptionCategories	Type
1	Paddy rice	p01.a	C_PARI	Food	Commodity
2	Wheat	p01.b	C_WHEA	Food	Commodity
3	Cereal grains nec	p01.c	C_OCER	Food	Commodity
4	Vegetables, fruit, nuts	p01.d	C_FVEG	Food	Commodity
5	Oil seeds	p01.e	C_OILS	Food	Commodity
6	Sugar cane, sugar beet	p01.f	C_SUGB	Food	Commodity
7	Plant-based fibers	p01.g	C_FIBR	Food	Commodity
8	Crops nec	p01.h	C_OTCR	Food	Commodity
9	Cattle	p01.i	C_CATL	Food	Commodity
10	Pigs	p01.j	C_PIGS	Food	Commodity
11	Poultry	p01.k	C_PLTR	Food	Commodity
12	Meat animals nec	p01.l	C_OMEA	Food	Commodity
13	Animal products nec	p01.m	C_OANP	Food	Commodity
14	Raw milk	p01.n	C_MILK	Food	Commodity
15	Wool, silk-worm cocoons	p01.o	C_WOOL	Clothing	Commodity
16	Manure (conventional treatment)	p01.w.1	C_MANC	Food	Waste
17	Manure (biogas treatment)	p01.w.2	C_MANB	Food	Waste
18	Products of forestry, logging and related services (02)	p02	C_FORE	Shelter	Commodity
19	Fish and other fishing products; services incidental of fishing (05)	p05	C_FISH	Food	Commodity
20	Anthracite	p10.a	C_ANTH	Shelter	Commodity
21	Coking Coal	p10.b	C_COKC	Shelter	Commodity
22	Other Bituminous Coal	p10.c	C_OTBC	Shelter	Commodity
23	Sub-Bituminous Coal	p10.d	C_SUBC	Shelter	Commodity
24	Patent Fuel	p10.e	C_PATF	Shelter	Commodity
25	Lignite/Brown Coal	p10.f	C_LIBC	Shelter	Commodity
26	BKB/Peat Briquettes	p10.g	C_BKBP	Shelter	Commodity
27	Peat	p10.h	C_PEAT	Shelter	Commodity
28	Crude petroleum and services related to crude oil extraction, excluding surveying	p11.a	C_COIL	Shelter	Commodity
29	Natural gas and services related to natural gas extraction, excluding surveying	p11.b	C_GASE	Shelter	Commodity
30	Natural Gas Liquids	p11.b.1	C_GASL	Shelter	Commodity
31	Other Hydrocarbons	p11.c	C_OGPL	Shelter	Commodity
32	Uranium and thorium ores (12)	p12	C_ORAN	Shelter	Commodity
33	Iron ores	p13.1	C_IRON	Construction	Commodity
34	Copper ores and concentrates	p13.20.11	C_COPO	Construction	Commodity
35	Nickel ores and concentrates	p13.20.12	C_NIKO	Construction	Commodity
36	Aluminium ores and concentrates	p13.20.13	C_ALUO	Construction	Commodity
37	Precious metal ores and concentrates	p13.20.14	C_PREO	Construction	Commodity
38	Lead, zinc and tin ores and concentrates	p13.20.15	C_LZTO	Construction	Commodity
39	Other non-ferrous metal ores and concentrates	p13.20.16	C_ONFO	Construction	Commodity
40	Stone	p14.1	C_STON	Construction	Commodity
41	Sand and clay	p14.2	C_SDCL	Construction	Commodity
42	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	p14.3	C_CHMF	Food	Commodity
43	Products of meat cattle	p15.a	C_PCAT	Food	Commodity
44	Products of meat pigs	p15.b	C_PPIG	Food	Commodity
45	Products of meat poultry	p15.c	C_PPLT	Food	Commodity
